Site;Gap;Fence;Species;Available;Browsed
1;Dark;Control;Acer;3;2
1;Dark;Control;Acer;3;2
1;Dark;Control;Acer;5;2
1;Dark;Control;Acer;2;1
1;Dark;Control;Acer;3;3
1;Dark;Control;Acer;2;1
1;Light;Control;Acer;9;2
1;Light;Control;Acer;7;5
1;Light;Control;Acer;4;4
1;Light;Control;Acer;8;1
1;Light;Control;Acer;6;5
1;Light;Control;Acer;3;2
1;Dark;Control;Carpinus;4;0
1;Dark;Control;Carpinus;14;2
1;Dark;Control;Carpinus;7;2
1;Dark;Control;Carpinus;2;1
1;Dark;Control;Carpinus;NA;NA
1;Dark;Control;Carpinus;NA;NA
1;Light;Control;Carpinus;7;4
1;Light;Control;Carpinus;15;9
1;Light;Control;Carpinus;9;5
1;Light;Control;Carpinus;11;3
1;Light;Control;Carpinus;12;6
1;Light;Control;Carpinus;10;3
1;Dark;Control;Quercus;5;0
1;Dark;Control;Quercus;10;6
1;Dark;Control;Quercus;5;2
1;Dark;Control;Quercus;1;0
1;Dark;Control;Quercus;12;0
1;Dark;Control;Quercus;4;3
1;Light;Control;Quercus;14;9
1;Light;Control;Quercus;15;10
1;Light;Control;Quercus;6;6
1;Light;Control;Quercus;7;5
1;Light;Control;Quercus;6;5
1;Light;Control;Quercus;8;7
1;Dark;Control;Tilia;3;1
1;Dark;Control;Tilia;5;1
1;Dark;Control;Tilia;2;0
1;Dark;Control;Tilia;5;1
1;Dark;Control;Tilia;8;0
1;Dark;Control;Tilia;5;0
1;Light;Control;Tilia;6;2
1;Light;Control;Tilia;4;1
1;Light;Control;Tilia;5;2
1;Light;Control;Tilia;4;2
1;Light;Control;Tilia;6;5
1;Light;Control;Tilia;4;1
2;Dark;Control;Acer;6;2
2;Dark;Control;Acer;7;2
2;Dark;Control;Acer;5;1
2;Dark;Control;Acer;3;1
2;Dark;Control;Acer;6;2
2;Dark;Control;Acer;NA;NA
2;Light;Control;Acer;9;8
2;Light;Control;Acer;3;1
2;Light;Control;Acer;1;1
2;Light;Control;Acer;5;2
2;Light;Control;Acer;9;4
2;Light;Control;Acer;7;0
2;Dark;Control;Carpinus;4;2
2;Dark;Control;Carpinus;12;0
2;Dark;Control;Carpinus;17;0
2;Dark;Control;Carpinus;4;0
2;Dark;Control;Carpinus;9;0
2;Dark;Control;Carpinus;15;0
2;Light;Control;Carpinus;11;3
2;Light;Control;Carpinus;13;2
2;Light;Control;Carpinus;11;4
2;Light;Control;Carpinus;7;1
2;Light;Control;Carpinus;14;6
2;Light;Control;Carpinus;7;2
2;Dark;Control;Quercus;21;3
2;Dark;Control;Quercus;6;3
2;Dark;Control;Quercus;8;0
2;Dark;Control;Quercus;5;3
2;Dark;Control;Quercus;10;2
2;Dark;Control;Quercus;12;3
2;Light;Control;Quercus;10;4
2;Light;Control;Quercus;18;3
2;Light;Control;Quercus;8;5
2;Light;Control;Quercus;6;2
2;Light;Control;Quercus;11;3
2;Light;Control;Quercus;17;8
2;Dark;Control;Tilia;5;0
2;Dark;Control;Tilia;7;0
2;Dark;Control;Tilia;6;2
2;Dark;Control;Tilia;4;2
2;Dark;Control;Tilia;4;2
2;Dark;Control;Tilia;6;0
2;Light;Control;Tilia;10;1
2;Light;Control;Tilia;8;0
2;Light;Control;Tilia;12;3
2;Light;Control;Tilia;7;1
2;Light;Control;Tilia;5;2
2;Light;Control;Tilia;10;5
3;Dark;Control;Acer;2;1
3;Dark;Control;Acer;4;3
3;Dark;Control;Acer;5;3
3;Dark;Control;Acer;6;3
3;Dark;Control;Acer;6;3
3;Dark;Control;Acer;3;1
3;Light;Control;Acer;1;1
3;Light;Control;Acer;7;5
3;Light;Control;Acer;5;3
3;Light;Control;Acer;7;7
3;Light;Control;Acer;7;1
3;Light;Control;Acer;5;1
3;Dark;Control;Carpinus;9;1
3;Dark;Control;Carpinus;10;6
3;Dark;Control;Carpinus;2;0
3;Dark;Control;Carpinus;9;2
3;Dark;Control;Carpinus;19;0
3;Dark;Control;Carpinus;6;0
3;Light;Control;Carpinus;13;6
3;Light;Control;Carpinus;5;3
3;Light;Control;Carpinus;7;1
3;Light;Control;Carpinus;13;10
3;Light;Control;Carpinus;17;6
3;Light;Control;Carpinus;7;2
3;Dark;Control;Quercus;8;1
3;Dark;Control;Quercus;1;1
3;Dark;Control;Quercus;4;0
3;Dark;Control;Quercus;9;5
3;Dark;Control;Quercus;8;0
3;Dark;Control;Quercus;NA;NA
3;Light;Control;Quercus;18;5
3;Light;Control;Quercus;24;4
3;Light;Control;Quercus;7;2
3;Light;Control;Quercus;19;6
3;Light;Control;Quercus;23;11
3;Light;Control;Quercus;9;4
3;Dark;Control;Tilia;3;2
3;Dark;Control;Tilia;8;1
3;Dark;Control;Tilia;7;0
3;Dark;Control;Tilia;4;1
3;Dark;Control;Tilia;7;1
3;Dark;Control;Tilia;9;0
3;Light;Control;Tilia;8;1
3;Light;Control;Tilia;5;3
3;Light;Control;Tilia;11;3
3;Light;Control;Tilia;7;6
3;Light;Control;Tilia;9;2
3;Light;Control;Tilia;10;4
4;Dark;Control;Acer;4;1
4;Dark;Control;Acer;7;2
4;Dark;Control;Acer;9;5
4;Dark;Control;Acer;6;2
4;Dark;Control;Acer;1;1
4;Dark;Control;Acer;7;1
4;Light;Control;Acer;6;1
4;Light;Control;Acer;2;2
4;Light;Control;Acer;5;3
4;Light;Control;Acer;6;4
4;Light;Control;Acer;8;5
4;Light;Control;Acer;9;7
4;Dark;Control;Carpinus;5;5
4;Dark;Control;Carpinus;10;2
4;Dark;Control;Carpinus;22;16
4;Dark;Control;Carpinus;15;3
4;Dark;Control;Carpinus;10;1
4;Dark;Control;Carpinus;NA;NA
4;Light;Control;Carpinus;7;6
4;Light;Control;Carpinus;12;1
4;Light;Control;Carpinus;7;3
4;Light;Control;Carpinus;17;5
4;Light;Control;Carpinus;8;7
4;Light;Control;Carpinus;11;4
4;Dark;Control;Quercus;9;4
4;Dark;Control;Quercus;33;3
4;Dark;Control;Quercus;6;5
4;Dark;Control;Quercus;6;0
4;Dark;Control;Quercus;19;7
4;Dark;Control;Quercus;12;3
4;Light;Control;Quercus;5;3
4;Light;Control;Quercus;14;10
4;Light;Control;Quercus;11;2
4;Light;Control;Quercus;15;7
4;Light;Control;Quercus;16;6
4;Light;Control;Quercus;15;15
4;Dark;Control;Tilia;3;3
4;Dark;Control;Tilia;4;1
4;Dark;Control;Tilia;7;5
4;Dark;Control;Tilia;4;0
4;Dark;Control;Tilia;5;0
4;Dark;Control;Tilia;NA;NA
4;Light;Control;Tilia;10;7
4;Light;Control;Tilia;9;3
4;Light;Control;Tilia;5;0
4;Light;Control;Tilia;6;3
4;Light;Control;Tilia;5;3
4;Light;Control;Tilia;6;4
5;Dark;Control;Acer;5;5
5;Dark;Control;Acer;8;2
5;Dark;Control;Acer;10;4
5;Dark;Control;Acer;1;1
5;Dark;Control;Acer;7;1
5;Dark;Control;Acer;5;4
5;Light;Control;Acer;6;2
5;Light;Control;Acer;5;4
5;Light;Control;Acer;5;3
5;Light;Control;Acer;6;1
5;Light;Control;Acer;7;4
5;Light;Control;Acer;NA;NA
5;Dark;Control;Carpinus;2;1
5;Dark;Control;Carpinus;6;0
5;Dark;Control;Carpinus;6;0
5;Dark;Control;Carpinus;11;3
5;Dark;Control;Carpinus;11;2
5;Dark;Control;Carpinus;21;0
5;Light;Control;Carpinus;7;2
5;Light;Control;Carpinus;6;0
5;Light;Control;Carpinus;7;0
5;Light;Control;Carpinus;11;4
5;Light;Control;Carpinus;10;1
5;Light;Control;Carpinus;7;0
5;Dark;Control;Quercus;7;2
5;Dark;Control;Quercus;7;1
5;Dark;Control;Quercus;4;2
5;Dark;Control;Quercus;NA;NA
5;Dark;Control;Quercus;NA;NA
5;Dark;Control;Quercus;NA;NA
5;Light;Control;Quercus;11;2
5;Light;Control;Quercus;10;4
5;Light;Control;Quercus;21;5
5;Light;Control;Quercus;11;4
5;Light;Control;Quercus;15;4
5;Light;Control;Quercus;NA;NA
5;Dark;Control;Tilia;4;1
5;Dark;Control;Tilia;9;2
5;Dark;Control;Tilia;7;0
5;Dark;Control;Tilia;5;3
5;Dark;Control;Tilia;7;3
5;Dark;Control;Tilia;7;4
5;Light;Control;Tilia;6;1
5;Light;Control;Tilia;11;3
5;Light;Control;Tilia;5;1
5;Light;Control;Tilia;11;5
5;Light;Control;Tilia;6;3
5;Light;Control;Tilia;3;1
6;Dark;Control;Acer;2;1
6;Dark;Control;Acer;3;1
6;Dark;Control;Acer;4;0
6;Dark;Control;Acer;4;1
6;Dark;Control;Acer;6;1
6;Dark;Control;Acer;3;1
6;Light;Control;Acer;9;5
6;Light;Control;Acer;7;1
6;Light;Control;Acer;6;3
6;Light;Control;Acer;9;6
6;Light;Control;Acer;10;3
6;Light;Control;Acer;8;8
6;Dark;Control;Carpinus;12;1
6;Dark;Control;Carpinus;13;7
6;Dark;Control;Carpinus;13;4
6;Dark;Control;Carpinus;17;2
6;Dark;Control;Carpinus;12;3
6;Dark;Control;Carpinus;6;2
6;Light;Control;Carpinus;5;2
6;Light;Control;Carpinus;12;5
6;Light;Control;Carpinus;9;0
6;Light;Control;Carpinus;8;0
6;Light;Control;Carpinus;10;2
6;Light;Control;Carpinus;6;3
6;Dark;Control;Quercus;6;0
6;Dark;Control;Quercus;8;0
6;Dark;Control;Quercus;4;1
6;Dark;Control;Quercus;6;3
6;Dark;Control;Quercus;10;2
6;Dark;Control;Quercus;10;0
6;Light;Control;Quercus;8;2
6;Light;Control;Quercus;12;2
6;Light;Control;Quercus;18;12
6;Light;Control;Quercus;15;4
6;Light;Control;Quercus;25;8
6;Light;Control;Quercus;10;8
6;Dark;Control;Tilia;9;0
6;Dark;Control;Tilia;5;2
6;Dark;Control;Tilia;7;2
6;Dark;Control;Tilia;3;0
6;Dark;Control;Tilia;5;3
6;Dark;Control;Tilia;9;0
6;Light;Control;Tilia;7;4
6;Light;Control;Tilia;5;3
6;Light;Control;Tilia;11;2
6;Light;Control;Tilia;9;4
6;Light;Control;Tilia;6;1
6;Light;Control;Tilia;12;9
1;Light;Control;Picea;16;14
1;Light;Control;Picea;57;20
1;Light;Control;Picea;78;14
1;Light;Control;Picea;39;23
1;Light;Control;Picea;90;27
1;Light;Control;Picea;44;12
3;Dark;Control;Picea;82;0
3;Dark;Control;Picea;15;0
3;Dark;Control;Picea;36;11
3;Dark;Control;Picea;17;0
3;Dark;Control;Picea;30;0
3;Dark;Control;Picea;24;7
3;Light;Control;Picea;129;23
3;Light;Control;Picea;62;30
3;Light;Control;Picea;65;19
3;Light;Control;Picea;55;25
3;Light;Control;Picea;80;23
3;Light;Control;Picea;53;21
4;Light;Control;Picea;86;17
4;Light;Control;Picea;67;15
4;Light;Control;Picea;72;16
4;Light;Control;Picea;70;18
4;Dark;Control;Picea;33;20
4;Dark;Control;Picea;57;19
4;Dark;Control;Picea;17;8
4;Dark;Control;Picea;63;21
4;Dark;Control;Picea;34;8
4;Dark;Control;Picea;63;24
5;Light;Control;Picea;92;0
5;Light;Control;Picea;86;11
5;Light;Control;Picea;109;10
5;Light;Control;Picea;117;4
5;Dark;Control;Picea;69;17
5;Dark;Control;Picea;48;8
5;Dark;Control;Picea;56;13
5;Light;Control;Picea;92;0
5;Light;Control;Picea;112;5
4;Light;Control;Picea;85;25
4;Light;Control;Picea;66;17
6;Light;Control;Picea;107;13
6;Light;Control;Picea;109;13
6;Dark;Control;Picea;115;8
6;Dark;Control;Picea;106;1
6;Dark;Control;Picea;66;16
6;Dark;Control;Picea;29;11
6;Dark;Control;Picea;94;6
6;Dark;Control;Picea;109;0
5;Dark;Control;Picea;55;0
5;Dark;Control;Picea;89;23
5;Dark;Control;Picea;37;10
6;Light;Control;Picea;75;28
6;Light;Control;Picea;82;20
6;Light;Control;Picea;89;14
1;Dark;Control;Picea;44;0
1;Dark;Control;Picea;19;0
1;Dark;Control;Picea;18;0
1;Dark;Control;Picea;53;0
1;Dark;Control;Picea;37;0
1;Dark;Control;Picea;41;0
2;Light;Control;Picea;58;25
2;Light;Control;Picea;46;17
2;Light;Control;Picea;50;15
2;Light;Control;Picea;24;15
2;Light;Control;Picea;69;24
2;Light;Control;Picea;53;24
2;Dark;Control;Picea;24;0
2;Dark;Control;Picea;20;1
2;Dark;Control;Picea;110;0
2;Dark;Control;Picea;43;0
2;Dark;Control;Picea;28;0
2;Dark;Control;Picea;28;0
6;Light;Control;Picea;103;6
