Site;Fence;Gap;Species;Survived
1;Control;Dark;Acer;0
1;Control;Dark;Acer;0
1;Control;Dark;Acer;0
1;Control;Dark;Acer;0
1;Control;Dark;Acer;0
1;Control;Dark;Acer;0
1;Control;Light;Acer;1
1;Control;Light;Acer;1
1;Control;Light;Acer;0
1;Control;Light;Acer;0
1;Control;Light;Acer;0
1;Control;Light;Acer;0
1;Exclosure;Dark;Acer;0
1;Exclosure;Dark;Acer;0
1;Exclosure;Dark;Acer;0
1;Exclosure;Dark;Acer;1
1;Exclosure;Dark;Acer;0
1;Exclosure;Dark;Acer;0
1;Exclosure;Light;Acer;1
1;Exclosure;Light;Acer;1
1;Exclosure;Light;Acer;1
1;Exclosure;Light;Acer;1
1;Exclosure;Light;Acer;1
1;Exclosure;Light;Acer;1
1;Control;Dark;Carpinus;0
1;Control;Dark;Carpinus;0
1;Control;Dark;Carpinus;1
1;Control;Dark;Carpinus;0
1;Control;Dark;Carpinus;0
1;Control;Dark;Carpinus;0
1;Control;Light;Carpinus;1
1;Control;Light;Carpinus;1
1;Control;Light;Carpinus;1
1;Control;Light;Carpinus;0
1;Control;Light;Carpinus;1
1;Control;Light;Carpinus;1
1;Exclosure;Dark;Carpinus;0
1;Exclosure;Dark;Carpinus;0
1;Exclosure;Dark;Carpinus;0
1;Exclosure;Dark;Carpinus;0
1;Exclosure;Dark;Carpinus;0
1;Exclosure;Dark;Carpinus;0
1;Exclosure;Light;Carpinus;1
1;Exclosure;Light;Carpinus;1
1;Exclosure;Light;Carpinus;1
1;Exclosure;Light;Carpinus;1
1;Exclosure;Light;Carpinus;1
1;Exclosure;Light;Carpinus;1
1;Control;Dark;Picea;0
1;Control;Dark;Picea;0
1;Control;Dark;Picea;0
1;Control;Dark;Picea;0
1;Control;Dark;Picea;0
1;Control;Dark;Picea;0
1;Control;Light;Picea;1
1;Control;Light;Picea;1
1;Control;Light;Picea;1
1;Control;Light;Picea;0
1;Control;Light;Picea;0
1;Control;Light;Picea;0
1;Exclosure;Dark;Picea;0
1;Exclosure;Dark;Picea;0
1;Exclosure;Dark;Picea;0
1;Exclosure;Dark;Picea;0
1;Exclosure;Dark;Picea;0
1;Exclosure;Dark;Picea;0
1;Exclosure;Light;Picea;1
1;Exclosure;Light;Picea;1
1;Exclosure;Light;Picea;0
1;Exclosure;Light;Picea;1
1;Exclosure;Light;Picea;0
1;Exclosure;Light;Picea;1
1;Control;Dark;Quercus;0
1;Control;Dark;Quercus;0
1;Control;Dark;Quercus;0
1;Control;Dark;Quercus;0
1;Control;Dark;Quercus;0
1;Control;Dark;Quercus;0
1;Control;Light;Quercus;1
1;Control;Light;Quercus;1
1;Control;Light;Quercus;1
1;Control;Light;Quercus;1
1;Control;Light;Quercus;0
1;Control;Light;Quercus;0
1;Exclosure;Dark;Quercus;0
1;Exclosure;Dark;Quercus;0
1;Exclosure;Dark;Quercus;0
1;Exclosure;Dark;Quercus;0
1;Exclosure;Dark;Quercus;0
1;Exclosure;Dark;Quercus;0
1;Exclosure;Light;Quercus;1
1;Exclosure;Light;Quercus;1
1;Exclosure;Light;Quercus;1
1;Exclosure;Light;Quercus;1
1;Exclosure;Light;Quercus;1
1;Exclosure;Light;Quercus;1
1;Control;Dark;Tilia;0
1;Control;Dark;Tilia;1
1;Control;Dark;Tilia;1
1;Control;Dark;Tilia;0
1;Control;Dark;Tilia;0
1;Control;Dark;Tilia;0
1;Control;Light;Tilia;1
1;Control;Light;Tilia;1
1;Control;Light;Tilia;1
1;Control;Light;Tilia;1
1;Control;Light;Tilia;0
1;Control;Light;Tilia;1
1;Exclosure;Dark;Tilia;0
1;Exclosure;Dark;Tilia;0
1;Exclosure;Dark;Tilia;1
1;Exclosure;Dark;Tilia;1
1;Exclosure;Dark;Tilia;0
1;Exclosure;Dark;Tilia;0
1;Exclosure;Light;Tilia;1
1;Exclosure;Light;Tilia;1
1;Exclosure;Light;Tilia;1
1;Exclosure;Light;Tilia;1
1;Exclosure;Light;Tilia;0
1;Exclosure;Light;Tilia;1
2;Control;Dark;Acer;1
2;Control;Dark;Acer;1
2;Control;Dark;Acer;1
2;Control;Dark;Acer;1
2;Control;Dark;Acer;1
2;Control;Dark;Acer;1
2;Control;Light;Acer;1
2;Control;Light;Acer;1
2;Control;Light;Acer;1
2;Control;Light;Acer;1
2;Control;Light;Acer;0
2;Control;Light;Acer;0
2;Exclosure;Dark;Acer;1
2;Exclosure;Dark;Acer;1
2;Exclosure;Dark;Acer;1
2;Exclosure;Dark;Acer;1
2;Exclosure;Dark;Acer;1
2;Exclosure;Dark;Acer;1
2;Exclosure;Light;Acer;1
2;Exclosure;Light;Acer;1
2;Exclosure;Light;Acer;1
2;Exclosure;Light;Acer;1
2;Exclosure;Light;Acer;1
2;Exclosure;Light;Acer;0
2;Control;Dark;Carpinus;0
2;Control;Dark;Carpinus;1
2;Control;Dark;Carpinus;0
2;Control;Dark;Carpinus;0
2;Control;Dark;Carpinus;0
2;Control;Dark;Carpinus;0
2;Control;Light;Carpinus;1
2;Control;Light;Carpinus;1
2;Control;Light;Carpinus;1
2;Control;Light;Carpinus;1
2;Control;Light;Carpinus;1
2;Control;Light;Carpinus;1
2;Exclosure;Dark;Carpinus;0
2;Exclosure;Dark;Carpinus;1
2;Exclosure;Dark;Carpinus;1
2;Exclosure;Dark;Carpinus;1
2;Exclosure;Dark;Carpinus;1
2;Exclosure;Dark;Carpinus;1
2;Exclosure;Light;Carpinus;1
2;Exclosure;Light;Carpinus;0
2;Exclosure;Light;Carpinus;1
2;Exclosure;Light;Carpinus;1
2;Exclosure;Light;Carpinus;1
2;Exclosure;Light;Carpinus;1
2;Control;Dark;Picea;0
2;Control;Dark;Picea;0
2;Control;Dark;Picea;0
2;Control;Dark;Picea;0
2;Control;Dark;Picea;0
2;Control;Dark;Picea;0
2;Control;Light;Picea;1
2;Control;Light;Picea;0
2;Control;Light;Picea;1
2;Control;Light;Picea;1
2;Control;Light;Picea;1
2;Control;Light;Picea;0
2;Exclosure;Dark;Picea;0
2;Exclosure;Dark;Picea;1
2;Exclosure;Dark;Picea;0
2;Exclosure;Dark;Picea;0
2;Exclosure;Dark;Picea;1
2;Exclosure;Dark;Picea;0
2;Exclosure;Light;Picea;1
2;Exclosure;Light;Picea;1
2;Exclosure;Light;Picea;1
2;Exclosure;Light;Picea;1
2;Exclosure;Light;Picea;1
2;Exclosure;Light;Picea;1
2;Control;Dark;Quercus;0
2;Control;Dark;Quercus;0
2;Control;Dark;Quercus;0
2;Control;Dark;Quercus;0
2;Control;Dark;Quercus;0
2;Control;Dark;Quercus;0
2;Control;Light;Quercus;0
2;Control;Light;Quercus;1
2;Control;Light;Quercus;1
2;Control;Light;Quercus;0
2;Control;Light;Quercus;1
2;Control;Light;Quercus;1
2;Exclosure;Dark;Quercus;0
2;Exclosure;Dark;Quercus;0
2;Exclosure;Dark;Quercus;0
2;Exclosure;Dark;Quercus;0
2;Exclosure;Dark;Quercus;0
2;Exclosure;Dark;Quercus;0
2;Exclosure;Light;Quercus;1
2;Exclosure;Light;Quercus;0
2;Exclosure;Light;Quercus;1
2;Exclosure;Light;Quercus;1
2;Exclosure;Light;Quercus;1
2;Exclosure;Light;Quercus;1
2;Control;Dark;Tilia;1
2;Control;Dark;Tilia;0
2;Control;Dark;Tilia;1
2;Control;Dark;Tilia;0
2;Control;Dark;Tilia;0
2;Control;Dark;Tilia;1
2;Control;Light;Tilia;1
2;Control;Light;Tilia;0
2;Control;Light;Tilia;1
2;Control;Light;Tilia;1
2;Control;Light;Tilia;1
2;Control;Light;Tilia;1
2;Exclosure;Dark;Tilia;1
2;Exclosure;Dark;Tilia;1
2;Exclosure;Dark;Tilia;1
2;Exclosure;Dark;Tilia;0
2;Exclosure;Dark;Tilia;1
2;Exclosure;Dark;Tilia;1
2;Exclosure;Light;Tilia;1
2;Exclosure;Light;Tilia;1
2;Exclosure;Light;Tilia;1
2;Exclosure;Light;Tilia;1
2;Exclosure;Light;Tilia;1
2;Exclosure;Light;Tilia;1
3;Control;Dark;Acer;0
3;Control;Dark;Acer;0
3;Control;Dark;Acer;0
3;Control;Dark;Acer;0
3;Control;Dark;Acer;0
3;Control;Dark;Acer;0
3;Control;Light;Acer;1
3;Control;Light;Acer;0
3;Control;Light;Acer;1
3;Control;Light;Acer;0
3;Control;Light;Acer;0
3;Control;Light;Acer;0
3;Exclosure;Dark;Acer;1
3;Exclosure;Dark;Acer;1
3;Exclosure;Dark;Acer;1
3;Exclosure;Dark;Acer;1
3;Exclosure;Dark;Acer;1
3;Exclosure;Dark;Acer;1
3;Exclosure;Light;Acer;1
3;Exclosure;Light;Acer;1
3;Exclosure;Light;Acer;0
3;Exclosure;Light;Acer;1
3;Exclosure;Light;Acer;1
3;Exclosure;Light;Acer;0
3;Control;Dark;Carpinus;0
3;Control;Dark;Carpinus;0
3;Control;Dark;Carpinus;0
3;Control;Dark;Carpinus;0
3;Control;Dark;Carpinus;0
3;Control;Dark;Carpinus;0
3;Control;Light;Carpinus;0
3;Control;Light;Carpinus;0
3;Control;Light;Carpinus;1
3;Control;Light;Carpinus;1
3;Control;Light;Carpinus;1
3;Control;Light;Carpinus;1
3;Exclosure;Dark;Carpinus;0
3;Exclosure;Dark;Carpinus;1
3;Exclosure;Dark;Carpinus;0
3;Exclosure;Dark;Carpinus;0
3;Exclosure;Dark;Carpinus;0
3;Exclosure;Dark;Carpinus;0
3;Exclosure;Light;Carpinus;1
3;Exclosure;Light;Carpinus;1
3;Exclosure;Light;Carpinus;0
3;Exclosure;Light;Carpinus;1
3;Exclosure;Light;Carpinus;1
3;Exclosure;Light;Carpinus;1
3;Control;Dark;Picea;0
3;Control;Dark;Picea;0
3;Control;Dark;Picea;0
3;Control;Dark;Picea;0
3;Control;Dark;Picea;0
3;Control;Dark;Picea;0
3;Control;Light;Picea;1
3;Control;Light;Picea;0
3;Control;Light;Picea;0
3;Control;Light;Picea;0
3;Control;Light;Picea;0
3;Control;Light;Picea;0
3;Exclosure;Dark;Picea;0
3;Exclosure;Dark;Picea;0
3;Exclosure;Dark;Picea;0
3;Exclosure;Dark;Picea;0
3;Exclosure;Dark;Picea;0
3;Exclosure;Dark;Picea;0
3;Exclosure;Light;Picea;1
3;Exclosure;Light;Picea;1
3;Exclosure;Light;Picea;1
3;Exclosure;Light;Picea;0
3;Exclosure;Light;Picea;1
3;Exclosure;Light;Picea;0
3;Control;Dark;Quercus;0
3;Control;Dark;Quercus;0
3;Control;Dark;Quercus;0
3;Control;Dark;Quercus;0
3;Control;Dark;Quercus;0
3;Control;Dark;Quercus;0
3;Control;Light;Quercus;0
3;Control;Light;Quercus;0
3;Control;Light;Quercus;0
3;Control;Light;Quercus;0
3;Control;Light;Quercus;0
3;Control;Light;Quercus;0
3;Exclosure;Dark;Quercus;0
3;Exclosure;Dark;Quercus;0
3;Exclosure;Dark;Quercus;0
3;Exclosure;Dark;Quercus;0
3;Exclosure;Dark;Quercus;0
3;Exclosure;Dark;Quercus;0
3;Exclosure;Light;Quercus;1
3;Exclosure;Light;Quercus;1
3;Exclosure;Light;Quercus;1
3;Exclosure;Light;Quercus;1
3;Exclosure;Light;Quercus;1
3;Exclosure;Light;Quercus;0
3;Control;Dark;Tilia;0
3;Control;Dark;Tilia;0
3;Control;Dark;Tilia;0
3;Control;Dark;Tilia;0
3;Control;Dark;Tilia;0
3;Control;Dark;Tilia;0
3;Control;Light;Tilia;0
3;Control;Light;Tilia;1
3;Control;Light;Tilia;1
3;Control;Light;Tilia;1
3;Control;Light;Tilia;1
3;Control;Light;Tilia;1
3;Exclosure;Dark;Tilia;1
3;Exclosure;Dark;Tilia;1
3;Exclosure;Dark;Tilia;1
3;Exclosure;Dark;Tilia;1
3;Exclosure;Dark;Tilia;1
3;Exclosure;Dark;Tilia;0
3;Exclosure;Light;Tilia;1
3;Exclosure;Light;Tilia;1
3;Exclosure;Light;Tilia;1
3;Exclosure;Light;Tilia;1
3;Exclosure;Light;Tilia;1
3;Exclosure;Light;Tilia;0
4;Control;Dark;Acer;1
4;Control;Dark;Acer;1
4;Control;Dark;Acer;1
4;Control;Dark;Acer;0
4;Control;Dark;Acer;1
4;Control;Dark;Acer;0
4;Control;Light;Acer;1
4;Control;Light;Acer;0
4;Control;Light;Acer;0
4;Control;Light;Acer;0
4;Control;Light;Acer;0
4;Control;Light;Acer;0
4;Exclosure;Dark;Acer;1
4;Exclosure;Dark;Acer;1
4;Exclosure;Dark;Acer;1
4;Exclosure;Dark;Acer;1
4;Exclosure;Dark;Acer;1
4;Exclosure;Dark;Acer;1
4;Exclosure;Light;Acer;1
4;Exclosure;Light;Acer;1
4;Exclosure;Light;Acer;1
4;Exclosure;Light;Acer;1
4;Exclosure;Light;Acer;1
4;Exclosure;Light;Acer;1
4;Control;Dark;Carpinus;0
4;Control;Dark;Carpinus;1
4;Control;Dark;Carpinus;1
4;Control;Dark;Carpinus;0
4;Control;Dark;Carpinus;1
4;Control;Dark;Carpinus;1
4;Control;Light;Carpinus;1
4;Control;Light;Carpinus;0
4;Control;Light;Carpinus;1
4;Control;Light;Carpinus;1
4;Control;Light;Carpinus;1
4;Control;Light;Carpinus;0
4;Exclosure;Dark;Carpinus;0
4;Exclosure;Dark;Carpinus;0
4;Exclosure;Dark;Carpinus;0
4;Exclosure;Dark;Carpinus;1
4;Exclosure;Dark;Carpinus;1
4;Exclosure;Dark;Carpinus;1
4;Exclosure;Light;Carpinus;0
4;Exclosure;Light;Carpinus;1
4;Exclosure;Light;Carpinus;1
4;Exclosure;Light;Carpinus;1
4;Exclosure;Light;Carpinus;0
4;Exclosure;Light;Carpinus;0
4;Control;Dark;Picea;0
4;Control;Dark;Picea;0
4;Control;Dark;Picea;0
4;Control;Dark;Picea;1
4;Control;Dark;Picea;0
4;Control;Dark;Picea;1
4;Control;Light;Picea;1
4;Control;Light;Picea;1
4;Control;Light;Picea;0
4;Control;Light;Picea;1
4;Control;Light;Picea;1
4;Control;Light;Picea;1
4;Exclosure;Dark;Picea;0
4;Exclosure;Dark;Picea;0
4;Exclosure;Dark;Picea;0
4;Exclosure;Dark;Picea;0
4;Exclosure;Dark;Picea;0
4;Exclosure;Dark;Picea;0
4;Exclosure;Light;Picea;1
4;Exclosure;Light;Picea;1
4;Exclosure;Light;Picea;1
4;Exclosure;Light;Picea;1
4;Exclosure;Light;Picea;1
4;Exclosure;Light;Picea;1
4;Control;Dark;Quercus;0
4;Control;Dark;Quercus;0
4;Control;Dark;Quercus;0
4;Control;Dark;Quercus;1
4;Control;Dark;Quercus;1
4;Control;Dark;Quercus;1
4;Control;Light;Quercus;1
4;Control;Light;Quercus;1
4;Control;Light;Quercus;1
4;Control;Light;Quercus;0
4;Control;Light;Quercus;1
4;Control;Light;Quercus;1
4;Exclosure;Dark;Quercus;0
4;Exclosure;Dark;Quercus;0
4;Exclosure;Dark;Quercus;0
4;Exclosure;Dark;Quercus;0
4;Exclosure;Dark;Quercus;1
4;Exclosure;Dark;Quercus;0
4;Exclosure;Light;Quercus;1
4;Exclosure;Light;Quercus;1
4;Exclosure;Light;Quercus;1
4;Exclosure;Light;Quercus;0
4;Exclosure;Light;Quercus;1
4;Exclosure;Light;Quercus;1
4;Control;Dark;Tilia;1
4;Control;Dark;Tilia;1
4;Control;Dark;Tilia;1
4;Control;Dark;Tilia;0
4;Control;Dark;Tilia;0
4;Control;Dark;Tilia;1
4;Control;Light;Tilia;1
4;Control;Light;Tilia;1
4;Control;Light;Tilia;1
4;Control;Light;Tilia;1
4;Control;Light;Tilia;1
4;Control;Light;Tilia;1
4;Exclosure;Dark;Tilia;1
4;Exclosure;Dark;Tilia;1
4;Exclosure;Dark;Tilia;1
4;Exclosure;Dark;Tilia;1
4;Exclosure;Dark;Tilia;1
4;Exclosure;Dark;Tilia;1
4;Exclosure;Light;Tilia;1
4;Exclosure;Light;Tilia;0
4;Exclosure;Light;Tilia;1
4;Exclosure;Light;Tilia;1
4;Exclosure;Light;Tilia;1
4;Exclosure;Light;Tilia;1
5;Control;Dark;Acer;1
5;Control;Dark;Acer;1
5;Control;Dark;Acer;1
5;Control;Dark;Acer;0
5;Control;Dark;Acer;0
5;Control;Dark;Acer;1
5;Control;Light;Acer;0
5;Control;Light;Acer;1
5;Control;Light;Acer;0
5;Control;Light;Acer;0
5;Control;Light;Acer;1
5;Control;Light;Acer;1
5;Exclosure;Dark;Acer;1
5;Exclosure;Dark;Acer;1
5;Exclosure;Dark;Acer;1
5;Exclosure;Dark;Acer;0
5;Exclosure;Dark;Acer;1
5;Exclosure;Dark;Acer;1
5;Exclosure;Light;Acer;1
5;Exclosure;Light;Acer;1
5;Exclosure;Light;Acer;1
5;Exclosure;Light;Acer;1
5;Exclosure;Light;Acer;1
5;Exclosure;Light;Acer;1
5;Control;Dark;Carpinus;0
5;Control;Dark;Carpinus;1
5;Control;Dark;Carpinus;0
5;Control;Dark;Carpinus;0
5;Control;Dark;Carpinus;1
5;Control;Dark;Carpinus;1
5;Control;Light;Carpinus;1
5;Control;Light;Carpinus;1
5;Control;Light;Carpinus;1
5;Control;Light;Carpinus;1
5;Control;Light;Carpinus;1
5;Control;Light;Carpinus;1
5;Exclosure;Dark;Carpinus;1
5;Exclosure;Dark;Carpinus;1
5;Exclosure;Dark;Carpinus;1
5;Exclosure;Dark;Carpinus;1
5;Exclosure;Dark;Carpinus;1
5;Exclosure;Dark;Carpinus;1
5;Exclosure;Light;Carpinus;1
5;Exclosure;Light;Carpinus;1
5;Exclosure;Light;Carpinus;1
5;Exclosure;Light;Carpinus;1
5;Exclosure;Light;Carpinus;1
5;Exclosure;Light;Carpinus;1
5;Control;Dark;Picea;1
5;Control;Dark;Picea;0
5;Control;Dark;Picea;1
5;Control;Dark;Picea;0
5;Control;Dark;Picea;1
5;Control;Dark;Picea;0
5;Control;Light;Picea;1
5;Control;Light;Picea;0
5;Control;Light;Picea;1
5;Control;Light;Picea;0
5;Control;Light;Picea;0
5;Control;Light;Picea;1
5;Exclosure;Dark;Picea;1
5;Exclosure;Dark;Picea;1
5;Exclosure;Dark;Picea;1
5;Exclosure;Dark;Picea;0
5;Exclosure;Dark;Picea;1
5;Exclosure;Dark;Picea;1
5;Exclosure;Light;Picea;1
5;Exclosure;Light;Picea;0
5;Exclosure;Light;Picea;1
5;Exclosure;Light;Picea;1
5;Exclosure;Light;Picea;1
5;Exclosure;Light;Picea;1
5;Control;Dark;Quercus;0
5;Control;Dark;Quercus;0
5;Control;Dark;Quercus;0
5;Control;Dark;Quercus;0
5;Control;Dark;Quercus;0
5;Control;Dark;Quercus;0
5;Control;Light;Quercus;0
5;Control;Light;Quercus;1
5;Control;Light;Quercus;1
5;Control;Light;Quercus;1
5;Control;Light;Quercus;0
5;Control;Light;Quercus;1
5;Exclosure;Dark;Quercus;0
5;Exclosure;Dark;Quercus;0
5;Exclosure;Dark;Quercus;0
5;Exclosure;Dark;Quercus;0
5;Exclosure;Dark;Quercus;0
5;Exclosure;Dark;Quercus;1
5;Exclosure;Light;Quercus;1
5;Exclosure;Light;Quercus;1
5;Exclosure;Light;Quercus;1
5;Exclosure;Light;Quercus;1
5;Exclosure;Light;Quercus;1
5;Exclosure;Light;Quercus;1
5;Control;Dark;Tilia;1
5;Control;Dark;Tilia;1
5;Control;Dark;Tilia;1
5;Control;Dark;Tilia;1
5;Control;Dark;Tilia;1
5;Control;Dark;Tilia;1
5;Control;Light;Tilia;1
5;Control;Light;Tilia;1
5;Control;Light;Tilia;1
5;Control;Light;Tilia;1
5;Control;Light;Tilia;1
5;Control;Light;Tilia;1
5;Exclosure;Dark;Tilia;1
5;Exclosure;Dark;Tilia;1
5;Exclosure;Dark;Tilia;1
5;Exclosure;Dark;Tilia;0
5;Exclosure;Dark;Tilia;1
5;Exclosure;Dark;Tilia;0
5;Exclosure;Light;Tilia;1
5;Exclosure;Light;Tilia;1
5;Exclosure;Light;Tilia;1
5;Exclosure;Light;Tilia;1
5;Exclosure;Light;Tilia;1
5;Exclosure;Light;Tilia;1
6;Control;Dark;Acer;1
6;Control;Dark;Acer;1
6;Control;Dark;Acer;1
6;Control;Dark;Acer;1
6;Control;Dark;Acer;0
6;Control;Dark;Acer;0
6;Control;Light;Acer;1
6;Control;Light;Acer;1
6;Control;Light;Acer;1
6;Control;Light;Acer;0
6;Control;Light;Acer;1
6;Control;Light;Acer;1
6;Exclosure;Dark;Acer;1
6;Exclosure;Dark;Acer;1
6;Exclosure;Dark;Acer;1
6;Exclosure;Dark;Acer;1
6;Exclosure;Dark;Acer;1
6;Exclosure;Dark;Acer;1
6;Exclosure;Light;Acer;1
6;Exclosure;Light;Acer;1
6;Exclosure;Light;Acer;1
6;Exclosure;Light;Acer;1
6;Exclosure;Light;Acer;1
6;Exclosure;Light;Acer;1
6;Control;Dark;Carpinus;1
6;Control;Dark;Carpinus;1
6;Control;Dark;Carpinus;1
6;Control;Dark;Carpinus;1
6;Control;Dark;Carpinus;1
6;Control;Dark;Carpinus;0
6;Control;Light;Carpinus;1
6;Control;Light;Carpinus;1
6;Control;Light;Carpinus;0
6;Control;Light;Carpinus;1
6;Control;Light;Carpinus;1
6;Control;Light;Carpinus;0
6;Exclosure;Dark;Carpinus;1
6;Exclosure;Dark;Carpinus;1
6;Exclosure;Dark;Carpinus;1
6;Exclosure;Dark;Carpinus;1
6;Exclosure;Dark;Carpinus;1
6;Exclosure;Dark;Carpinus;1
6;Exclosure;Light;Carpinus;1
6;Exclosure;Light;Carpinus;1
6;Exclosure;Light;Carpinus;1
6;Exclosure;Light;Carpinus;1
6;Exclosure;Light;Carpinus;1
6;Exclosure;Light;Carpinus;1
6;Control;Dark;Picea;0
6;Control;Dark;Picea;1
6;Control;Dark;Picea;1
6;Control;Dark;Picea;0
6;Control;Dark;Picea;0
6;Control;Dark;Picea;1
6;Control;Light;Picea;1
6;Control;Light;Picea;1
6;Control;Light;Picea;1
6;Control;Light;Picea;1
6;Control;Light;Picea;1
6;Control;Light;Picea;1
6;Exclosure;Dark;Picea;1
6;Exclosure;Dark;Picea;1
6;Exclosure;Dark;Picea;1
6;Exclosure;Dark;Picea;1
6;Exclosure;Dark;Picea;1
6;Exclosure;Dark;Picea;1
6;Exclosure;Light;Picea;1
6;Exclosure;Light;Picea;1
6;Exclosure;Light;Picea;1
6;Exclosure;Light;Picea;1
6;Exclosure;Light;Picea;1
6;Exclosure;Light;Picea;1
6;Control;Dark;Quercus;0
6;Control;Dark;Quercus;0
6;Control;Dark;Quercus;1
6;Control;Dark;Quercus;1
6;Control;Dark;Quercus;1
6;Control;Dark;Quercus;1
6;Control;Light;Quercus;0
6;Control;Light;Quercus;1
6;Control;Light;Quercus;1
6;Control;Light;Quercus;1
6;Control;Light;Quercus;0
6;Control;Light;Quercus;1
6;Exclosure;Dark;Quercus;1
6;Exclosure;Dark;Quercus;1
6;Exclosure;Dark;Quercus;1
6;Exclosure;Dark;Quercus;1
6;Exclosure;Dark;Quercus;1
6;Exclosure;Dark;Quercus;1
6;Exclosure;Light;Quercus;1
6;Exclosure;Light;Quercus;1
6;Exclosure;Light;Quercus;1
6;Exclosure;Light;Quercus;1
6;Exclosure;Light;Quercus;1
6;Exclosure;Light;Quercus;1
6;Control;Dark;Tilia;1
6;Control;Dark;Tilia;1
6;Control;Dark;Tilia;1
6;Control;Dark;Tilia;1
6;Control;Dark;Tilia;1
6;Control;Dark;Tilia;1
6;Control;Light;Tilia;1
6;Control;Light;Tilia;1
6;Control;Light;Tilia;1
6;Control;Light;Tilia;1
6;Control;Light;Tilia;1
6;Control;Light;Tilia;1
6;Exclosure;Dark;Tilia;1
6;Exclosure;Dark;Tilia;1
6;Exclosure;Dark;Tilia;1
6;Exclosure;Dark;Tilia;1
6;Exclosure;Dark;Tilia;1
6;Exclosure;Dark;Tilia;0
6;Exclosure;Light;Tilia;1
6;Exclosure;Light;Tilia;1
6;Exclosure;Light;Tilia;1
6;Exclosure;Light;Tilia;0
6;Exclosure;Light;Tilia;1
6;Exclosure;Light;Tilia;1
